Lattitude,Longitude,Name,Location
-94.71906,31.33444, Lufkin,"209 S Timberland Dr , Lufkin , TX , (936) 634 3035"
-94.65275,31.63047, Nacogdoches,"2921 North St , Nacogdoches , TX , (936) 560 1012"
-94.04293,33.42895, Texarkana,"802 N State Line Ave , Texarkana , AR  , (870) 772 0435"
-94.01545,30.13033, Vidor,"605 N Main St , Vidor , TX , (409) 769 8727"
-93.9688,30.43016, Buna,"Highway 96 , Buna , TX , (409) 994 2208"
-93.86369,32.44716, Shreveport,"6703 Pines Rd , Shreveport , LA , (318) 688 5377"
-93.80124,32.40559, Shreveport,"9132 Mansfield Rd , Shreveport , LA , (318) 687 0511"
-93.78091,32.44902, Shreveport,"6363 Hearne Ave , Shreveport , LA , (318) 635 4878"
-93.74592,32.49549, Shreveport,"1733 Line Ave , Shreveport  , LA , (318) 424 5200"
-93.72195,32.41916, Shreveport,"1209 E Bert Kouns Industrial Loop , Shreveport , LA , (318) 798 1700"
-93.72195,32.45045, Shreveport,"6301 Youree Dr , Shreveport , LA , (318) 798 3006"
-93.70985,32.55362,  Bossier City,"2830 Airline Dr ,  Bossier City , LA , (318) 747 7885"
-93.70125,32.52744, Bossier City,"1985 Airline Dr , Bossier City , LA , (318) 549 0622"
-93.67912,32.49244, Barksdale Afb,"Douhet Dr Bldg # 4250 , Barksdale Afb , LA , (318) 741 3845"
-93.67206,32.53173,  Bossier City,"4020 Industrial Dr ,  Bossier City , LA , (318) 741 1915"
-93.26625,31.13073, Leesville,"1305 S 5th St , Leesville , LA , (337) 239 9971"
-93.25828,30.24254, Westlake,"801 Sampson St , Westlake , LA , (337) 439 1744"
-93.21886,30.17632, Lake Charles,"108 W Mcneese St , Lake Charles , LA , (337) 477 7876"
-93.18035,30.20706, Lake Charles,"2500 Gertsner Memorial Dr , Lake Charles , LA , (337) 478 7034"
-93.08384,34.12093, Arkadelphia,"2820 Pine St , Arkadelphia , AR , (870) 246 5949"
-92.57229,34.58189, Benton,"1918 Congo Rd  , Benton , AR , (501) 778 1095"
-92.48522,31.27082, Alexandria,"5410 Jackson Street Ext , Alexandria  , LA , (318) 445 5955"
-92.47308,31.3154, Alexandria,"2348 N Macarthur Dr , Alexandria , LA , (318) 443 8500"
-92.38462,30.23381, Crowley,"2601 N Parkerson Ave , Crowley , LA , (337) 788 1161"
-92.3412,34.75237, Little Rock,"6000 W Markham St , Little Rock , AR , (501) 666 6602"
-92.09805,32.52328, Monroe,"2401 Louisville Ave  , Monroe , LA , (318) 322 3723"
-92.08226,32.48869, Monroe,"1710 Martin Luther King Jr Dr , Monroe , LA , (318) 325 1150"
-92.07611,32.52427, Monroe,"3810 Desiard St , Monroe , LA , (318) 343 2062"
-92.07587,30.21156, Lafayette,"2256 Ambassador Caffery Pkwy , Lafayette , LA , (337) 981 1075"
-92.07478,30.51922, ,"946 Creswell Ln ,  ,  , (337) 948 6742"
-92.07059,30.175, ,"3601 Ambassador Caffery Pkwy ,  ,  , (337) 981 8026"
-92.06613,30.24969, ,"116 N Ambassador Caffery Pkwy ,  ,  , (337) 233 0049"
-92.04757,30.15569, ,"4520 Ambassador Caffery Pkwy ,  ,  , (337) 991 0879"
-92.02991,34.97882, ,"1100 W Main St  ,  ,  , (501) 843 9009"
-92.02198,30.21444, ,"1500 Johnston St ,  ,  , (337) 233 5944"
-92.01229,30.22862, ,"312 Jefferson Blvd ,  ,  , (337) 235 4903"
-91.97835,30.16964, ,"3101 Highway 90 E  ,  ,  , (337) 837 2966"
-91.90209,32.78059, ,"1020 E Madison Ave ,  ,  , (318) 281 1705"
-91.2572,29.68422, ,"6426 Highway 90 E ,  ,  , (985) 384 7933"
-91.21304,29.95747, ,"3420 Highway 70 S ,  ,  , (985) 252 0090"
-91.16819,30.47329, ,"2810 Scenic Hwy ,  ,  , (225) 357 5489"
-91.14996,30.64783, ,"5131 Main St ,  ,  , (225) 654 7681"
-91.13957,30.45093, ,"4951 Florida Blvd ,  ,  , (225) 925 2830"
-91.11034,30.43257, ,"7515 Jefferson Hwy ,  ,  , (225) 924 6141"
-91.06419,30.38581, ,"7004 Siegen Ln ,  ,  , (225) 293 1155"
-91.05756,30.43309, ,"2192 S Sherwood Forest Blvd ,  ,  , (225) 272 1270"
-91.016,30.40732, ,"5119 Jones Creek Rd ,  ,  , (225) 755 6178"
-91.00735,30.4351, ,"2327 Oneal Ln ,  ,  , (225) 751 6669"
-90.94168,30.21057, ,"1946 W Highway 30 ,  ,  , (225) 647 1100"
-90.9088,30.23342, ,"404 N Airline Hwy ,  ,  , (225) 647 7565"
-90.75102,29.61007, ,"1637 Martin Luther King Jr Blvd ,  ,  , (985) 868 5822"
-90.74885,29.62234, ,"6421 W Park Ave ,  ,  , (985) 872 3533"
-90.68863,29.5773, ,"1209 Grand Caillou Rd ,  ,  , (985) 879 3931"
-90.55174,29.69287, ,"4870 Highway 1 ,  ,  , (985) 532 6222"
-90.50084,30.51752, ,"46020 N Puma Dr ,  ,  , (985) 345 1343"
-90.45961,31.57967, ,"778 Brookway Blvd ,  ,  , (601) 835 2443"
-90.25363,30.02105, ,"1000 W Esplanade Ave Ste C ,  ,  , (504) 467 3005"
-90.23225,30.00591, ,"2601 Veterans Memorial Blvd ,  ,  , (504) 467 3515"
-90.22408,32.25348, ,"3390 Terry Rd ,  ,  , (601) 371 2234"
-90.18153,29.9928, ,"2100 Clearview Pkwy ,  ,  , (504) 887 3775"
-90.16356,30.00342, ,"3660 Veterans Memorial Blvd ,  ,  , (504) 885 1826"
-90.15684,30.84431, ,"735 Washington St ,  ,  , (985) 839 3080"
-90.13505,32.26932, ,"320 S Pearson Rd ,  ,  , (601) 932 5474"
-90.10528,29.9836, ,"512 City Park Ave  ,  ,  , (504) 488 6259"
-90.08331,30.43815, ,"605 N Highway 190 ,  ,  , (985) 893 2518"
-90.05115,29.91243, ,"78 Westbank Expy ,  ,  , (504) 367 2489"
-90.01166,32.35534, ,"60 Castlewoods Blvd ,  ,  , (601) 992 1903"
-89.98425,35.10461, ,"2348 Lamar Ave ,  ,  , (901) 744 1524"
-89.97521,29.95215, ,"8609 W Judge Perez Dr ,  ,  , (504) 279 4557"
-89.86478,30.78828, ,"101 Cumberland St ,  ,  , (985) 732 9014"
-89.81728,31.23979, ,"815 Highway 98 Byp ,  ,  , (601) 731 1956"
-89.79316,35.1737, ,"1765 N Germantown Pkwy ,  ,  , (901) 758 1173"
-89.77836,30.28559, ,"185 Gause Blvd ,  ,  , (985) 641 2112"
-89.48,32.36492, ,"190 W 3rd St ,  ,  , (601) 469 4000"
-89.37595,31.32399, ,"1000 Turtle Creek Dr ,  ,  , (601) 264 8531"
-89.34622,30.31728, ,"699 Highway 90 ,  ,  , (228) 467 3811"
-89.13538,31.6883, ,"319 Beacon St ,  ,  , (601) 426 9631"
-87.7388,31.94706, ,"1641 Pass Rd ,  ,  , (228) 374 6615"
-87.70824,30.54275, ,"1005 Bienville Blvd ,  ,  , (228) 875 8324"
-87.68346,30.39647, ,"3053 S 1st St ,  ,  , (731) 686 0717"
-87.42695,30.31134, ,"4825 8th St ,  ,  , (601) 693 0054"
-87.27092,34.47781, ,"11292 Highway 63 N ,  ,  , (601) 766 9800"
-87.26092,30.53311, ,"2523 Denny Ave ,  ,  , (228) 769 2524"
-87.15783,30.35471, ,"3875 Airport Blvd  ,  ,  , (251) 344 0007"
-87.15174,30.60313, ,"3200 Spring Hill Ave  ,  ,  , (251) 473 2652"
-86.97167,34.79458, ,"1862 Government St ,  ,  , (251) 479 3039"
-86.86354,30.40173, ,"2001 Highway 43 N  ,  ,  , (334) 636 1991"
-86.5743,30.76203, ,"910 S Mckenzie St ,  ,  , (251) 943 2105"
-86.3524,32.3819, ,"7960 Pine Forest Rd ,  ,  , (850) 944 2438"
-86.28654,32.35947, ,"3210 W Michigan Ave ,  ,  , (850) 941 8111"
-86.25417,33.16746, ,"11157 Al Highway 157  ,  ,  , (256) 974 6766"
-86.24937,31.27817, ,"312 E Nine Mile Rd ,  ,  , (850) 478 7704"
-86.12244,30.7021, ,"15 Brent Ln Ste 1  ,  ,  , (850) 438 8704"
-85.99229,31.83694, ,"310 Gulf Breeze Pkwy ,  ,  , (850) 916 9082"
-85.9172,30.2672, ,"4120 Highway 90 ,  ,  , (850) 994 2200"
-85.85971,31.33398, ,"6682 Caroline St  ,  ,  , (850) 623 0432"
-85.73133,30.18528, ,"1111 Jefferson St Se ,  ,  , (256) 233 4384"
-85.59138,30.14601, ,"8590 Navarre Pkwy  ,  ,  , (850) 939 1659"
-85.42726,31.25187, ,"198 W James Lee Blvd ,  ,  , (850) 682 2299"
-85.37694,32.6532, ,"Bldg 1087  ,  ,  , (334) 265 3913"
-85.30282,29.81057, ,"1621 Carter Hill Rd ,  ,  , (334) 265 7944"
-84.94333,32.41592, ,"1303 Freeport Rd  ,  ,  , (850) 892 2423"
-84.33104,33.82854, ,"2399 Martin Luther King Jr Blvd  ,  ,  , (850) 785 8515"
-84.32636,32.89115, ,"109 N Tyndall Pkwy ,  ,  , (850) 763 9072"
-84.30274,30.44868, ,"3182 Montgomery Hwy  ,  ,  , (334) 671 1956"
-84.28973,30.37604, ,"4220 Ross Clark Cir ,  ,  , (334) 792 5584"
-84.28474,30.46383, ,"415 2nd Ave ,  ,  , (334) 749 3351"
-84.28069,30.41352, ,"601 Monument Ave ,  ,  , (850) 229 7060"
-84.26664,34.06856, ,"1212 Veterans Pkwy ,  ,  , (706) 327 0674"
-84.26144,30.44161, ,"3809 Victory Dr ,  ,  , (706) 687 7300"
-84.22515,30.46088, ,"4410 Wade Green Rd Nw ,  ,  , (770) 423 9460"
-84.20935,33.95576, ,"809 Veterans Memorial Hwy Sw ,  ,  , (770) 732 0968"
-84.20816,31.60738, ,"1700 Marietta Hwy  ,  ,  , (770) 479 6292"
-84.15623,31.57521, ,"313 N Center St ,  ,  , (706) 647 2275"
-84.13704,31.55233, ,"3102 N Monroe St ,  ,  , (850) 562 8772"
-84.10086,31.57195, ,"1060 W Tennessee St ,  ,  , (850) 224 3547"
-83.99911,35.74801, ,"361 Capital Cir Sw ,  ,  , (850) 877 0399"
-83.95097,30.8534, ,"360 W Tharpe St ,  ,  , (850) 385 8020"
-83.93819,33.04132, ,"2626 S Monroe St ,  ,  , (850) 877 5291"
-83.86704,33.83048, ,"1301 E Park Ave ,  ,  , (850) 656 8302"
-83.77528,31.17889, ,"3107 Mahan Dr ,  ,  , (850) 656 0305"
-83.6632,32.8078, ,"2411 Dawson Rd ,  ,  , (229) 439 0089"
-83.64636,32.61843, ,"2805 N Slappey Blvd ,  ,  , (229) 889 1500"
-83.61677,32.85702, ,"802 S Slappey Blvd ,  ,  , (229) 439 9019"
-83.58151,30.09685, ,"404 W Oglethorpe Blvd ,  ,  , (229) 431 0382"
-83.5284,31.45783, ,"1501 Radium Springs Rd ,  ,  , (229) 883 6651"
-83.44047,31.13654, ,"2015 E Oglethorpe Blvd ,  ,  , (229) 436 4116"
-83.3204,30.83971, ,"730 Foothills Mall Dr ,  ,  , (865) 983 7322"
-83.28065,30.85452, ,"2930 E Pinetree Blvd ,  ,  , (229) 228 1913"
-83.04021,42.32998, ,"179 N Lee St ,  ,  , (478) 994 2947"
-82.93116,32.53618, ,"4740 Highway 78  ,  ,  , (770) 466 6244"
-82.85088,31.49137, ,"1105 1st Ave Se ,  ,  , (229) 890 1711"
-82.83694,34.69148, ,"3025 Pio Nono Ave ,  ,  , (478) 781 6979"
-82.73937,28.20873, ,"2010 Watson Blvd ,  ,  , (478) 922 0685"
-82.73113,27.7914, ,"1188 Gray Hwy ,  ,  , (478) 745 5019"
-82.72798,28.25034, ,"2144 S Byron Butler Pkwy ,  ,  , (850) 584 8700"
-82.70697,27.87233, ,"1026 2nd St W ,  ,  , (229) 382 0529"
-82.695,28.36258, ,"1201 W Fourth St  ,  ,  , (229) 896 2727"
-82.67935,27.80564, ,"1801 N Ashley St ,  ,  , (229) 244 4904"
-82.6529,30.2354, ,"1618 Veterans Blvd ,  ,  , (478) 275 3757"
-82.64676,27.84337, ,"1340 Peterson Ave S  ,  ,  , (912) 384 3033"
-82.63924,30.18913, ,"1063 Tiger Blvd ,  ,  , (864) 654 8518"
-82.62061,27.49576, ,"3444 Us Highway 19 ,  ,  , (727) 848 4923"
-82.5845,28.89351, ,"6760 22nd Ave N  ,  ,  , (727) 384 1011"
-82.57565,27.42201, ,"6319 Us Highway 19 ,  ,  , (727) 844 3828"
-82.57553,34.82436, ,"11021 Us Highway 19 N ,  ,  , (727) 572 1959"
-82.56277,27.46497, ,"14139 Us Highway 19 ,  ,  , (727) 862 9167"
-82.54921,27.36082, ,"3770 Ulmerton Rd ,  ,  , (727) 573 9296"
-82.52531,27.26365, ,"3701 34th St N ,  ,  , (727) 527 9436"
-82.50534,27.96636, ,"4560 W Highway 90 ,  ,  , (386) 752 3336"
-82.50298,33.50714, ,"7705 Dr Martin Luther King Jr St N  ,  ,  , (727) 577 5216"
-82.48573,27.98116, ,"25 S 1st St ,  ,  , (386) 758 9633"
-82.48005,27.49218, ,"5909 Manatee Ave W ,  ,  , (941) 792 9237"
-82.45924,28.03313, ,"6722 14th St W ,  ,  , (941) 753 3167"
-82.45522,27.269, ,"6098 Calhoun Memorial Hwy ,  ,  , (864) 855 4218"
-82.45095,28.05445, ,"3803 1st St ,  ,  , (941) 748 6186"
-82.43532,35.29684, ,"2808 N Tamiami Trl ,  ,  , (941) 355 3770"
-82.4193,34.189, ,"6285 S Tamiami Trl ,  ,  , (941) 924 7162"
-82.40836,29.65941, ,"2965 N Dale Mabry Hwy  ,  ,  , (813) 870 3471"
-82.39536,28.0542, ,"1871 Washington Rd ,  ,  , (706) 595 7956"
-82.38176,29.61933, ,"2506 W Dr Martin Luther King Jr Blvd ,  ,  , (813) 879 0168"
-82.32708,32.58933, ,"6502 E State Road 64 ,  ,  , (941) 747 7891"
-82.3247,29.6509, ,"3001 Earle E Morris Jr Hwy ,  ,  , (864) 295 1525"
-82.27681,34.95053, ,"9211 N Florida Ave  ,  ,  , (813) 933 1845"
-82.2104,41.38116, ,"5748 Clark Rd ,  ,  , (941) 923 6475"
-82.18758,29.14805, ,"901 E Fowler Ave ,  ,  , (813) 977 7466"
-82.16858,29.16614, ,"900 S Greenwood St ,  ,  , (864) 459 2099"
-82.14478,29.21433, ,"6123 W Newberry Rd ,  ,  , (352) 331 0494"
-82.14024,29.17138, ,"5301 E Fowler Ave ,  ,  , (813) 980 0600"
-82.12114,27.99304, ,"3905 Sw Archer Rd ,  ,  , (352) 372 0031"
-82.11135,29.94074, ,"413 S Main St ,  ,  , (478) 237 7766"
-82.10606,29.187, ,"Rd Nw 16th Ave ,  ,  , (352) 376 2295"
-82.08193,26.96911, ,"3811 Sw College Rd ,  ,  , (352) 237 5030"
-82.05633,29.05939, ,"5610 Gall Blvd ,  ,  , (813) 782 8780"
-82.02889,34.50099, ,"2696 Sw College Rd ,  ,  , (352) 237 4462"
-82.02345,34.99166, ,"2728 Nw Pine Ave ,  ,  , (352) 629 6845"
-82.00912,26.89503, ,"1704 S Pine Ave ,  ,  , (352) 629 1697"
-81.98275,30.28414, ,"2002 James L Redman Pkwy  ,  ,  , (813) 752 0044"
-81.91191,28.01212, ,"2301 E Silver Springs Blvd ,  ,  , (352) 732 7722"
-81.90751,35.35223, ,"2302 N Park Rd  ,  ,  , (813) 754 5792"
-81.8875,28.8254, ,"2900 Se 36th Ave ,  ,  , (352) 694 6530"
-81.84908,27.21171, ,"4215 Tamiami Trl ,  ,  , (941) 625 5551"
-81.7831,30.13287, ,"Clinton Hwy ,  ,  , (864) 682 8235"
-81.78115,24.56018, ,"2200 New Cut Rd ,  ,  , (864) 574 7425"
-81.77751,28.82015, ,"26500 Jones Loop Rd ,  ,  , (941) 637 4605"
-81.75497,30.30461, ,"1093 Us Highway 301 S  ,  ,  , (904) 266 9734"
-81.74438,28.54802, ,"7000 S Florida Ave ,  ,  , (863) 644 6693"
-81.74072,24.57339, ,"3015 Us Highway 98 S ,  ,  , (863) 665 1178"
-81.68989,28.82296, ,"1201 N 14th St ,  ,  , (352) 728 2491"
-81.66525,29.64136, ,"1016 E Oak St ,  ,  , (863) 494 6671"
-81.66284,30.79153, ,"1856 S Kings Rd ,  ,  , (904) 879 3993"
-81.66098,30.43013, ,"1092 Blanding Blvd ,  ,  , (904) 276 5889"
-81.64596,30.62071, ,"2120 N Roosevelt Blvd ,  ,  , (305) 294 4932"
-81.63883,34.72691, ,"10849 Us Highway 441 ,  ,  , (352) 742 5186"
-81.6305,31.88664, ,"6634 Normandy Blvd ,  ,  , (904) 786 5554"
-81.61641,31.83, ,"780 E Highway 50 ,  ,  , (352) 394 2323"
-81.60786,29.64355, ,"5400 Us Highway 1 ,  ,  , (305) 292 7607"
-81.50094,28.67296, ,"3305 Crill Ave ,  ,  , (386) 325 5804"
-81.47572,28.57855, ,"1362 Boone Avenue Ext E ,  ,  , (912) 729 7291"
-81.47496,31.16713, ,"937 Dunn Ave  ,  ,  , (904) 751 2514"
-81.47285,40.95956, ,"149 E State Road 200 ,  ,  , (904) 225 4977"
-81.45828,30.64119, ,"Bldg 455 Gulick Ave  ,  ,  , (912) 368 6618"
-81.4372,31.3903, ,"815 Elma G Miles Pkwy ,  ,  , (912) 876 3301"
-81.43393,28.61355, ,"177 S Us Highway 17  ,  ,  , (386) 325 9983"
-81.42178,28.36154, ,"8669 Baymeadows Rd  ,  ,  , (904) 737 6140"
-81.41785,28.48641, ,"8913 W Colonial Dr ,  ,  , (407) 293 5123"
-81.41201,28.30437, ,"488 E Main St ,  ,  , (407) 889 2534"
-81.40485,28.42796, ,"2607 N Hiawassee Rd ,  ,  , (407) 291 6064"
-81.4042,28.38557, ,"2723 Glynn Ave ,  ,  , (912) 265 0100"
-81.39068,28.55289, ,"3478 Miller Bridge Rd ,  ,  , (828) 397 5277"
-81.37643,28.51025, ,"1940 S 8th St ,  ,  , (904) 277 7151"
-81.36607,28.34485, ,"251& Magnolia Bluff Way  ,  ,  , (912) 437 5557"
-81.36539,28.29321, ,"6400 N Orange Blossom Trl ,  ,  , (407) 290 2692"
-81.36378,28.45236, ,"14025 Town Loop Blvd  ,  ,  , (407) 858 9199"
-81.30421,29.04526, ,"800 W Vine St ,  ,  , (407) 846 7776"
-81.20818,28.65346, ,"2000 Consulate Dr  ,  ,  , (407) 857 4978"
-81.15263,29.47646, ,"12371 S Orange Blossom Trl  ,  ,  , (407) 856 2822"
-81.14917,32.10316, ,"744 W Colonial Dr ,  ,  , (407) 425 3010"
-81.13333,29.33716, ,"2892 S Orange Ave ,  ,  , (407) 851 5220"
-81.11114,32.02923, ,"1936 E Osceola Pkwy ,  ,  , (407) 348 8009"
-81.09809,26.83381, ,"1920 E Irlo Bronson Memorial Hwy ,  ,  , (407) 846 2085"
-81.08283,29.28119, ,"8091 S Orange Ave ,  ,  , (407) 857 5785"
-81.08063,32.27323, ,"3900 E Colonial Dr ,  ,  , (407) 894 7232"
-81.03571,29.17202, ,"1032 N Woodland Blvd ,  ,  , (386) 738 1201"
-81.03545,24.72942, ,"1197 Alafaya Trl  ,  ,  , (407) 366 3339"
-80.96976,29.15224, ,"4241 Augusta Rd ,  ,  , (912) 964 5929"
-80.9478,26.75397, ,"1622 N Us Highway 1 ,  ,  , (386) 615 0977"
-80.94156,29.01462, ,"14 W De Renne Ave ,  ,  , (912) 352 2514"
-80.84064,35.20924, ,"110 N Nova Rd ,  ,  , (386) 672 8827"
-80.80202,28.58622, ,"1305 Beville Rd ,  ,  , (386) 760 0247"
-80.76698,28.47247, ,"11150 Overseas Hwy ,  ,  , (305) 289 1510"
-80.7308,28.33071, ,"112 N Ridgewood Ave ,  ,  , (386) 258 5973"
-80.72095,28.23046, ,"3418 S Atlantic Ave ,  ,  , (386) 788 4242"
-80.703065,28.383565, ,"1798 State Road 44 ,  ,  , (386) 423 6268"
-80.7029,28.38396, ,"1014 W Sugarland Hwy ,  ,  , (863) 983 7834"
-80.68503,32.40094, ,"604 Ne Park St ,  ,  , (863) 763 5900"
-80.67195,28.14848, ,"2480 S Washington Ave ,  ,  , (321) 267 0177"
-80.65796,35.17272, ,"6305 N Cocoa Blvd ,  ,  , (321) 636 0739"
-80.6088,35.4025, ,"423 Barton Blvd ,  ,  , (321) 631 0906"
-80.55661,35.00509, ,"7299 George T Edwards Dr ,  ,  , (321) 253 1110"
-80.4808,33.9786, ,"1455 N Courtenay Pkwy ,  ,  , (321) 459 1641"
-80.44046,25.09502, ,"380 E Merritt Island Cswy ,  ,  , (321) 452 8846"
-80.41631,25.66324, ,"1295 Ribaut Rd ,  ,  , (843) 525 1798"
-80.39899,25.7607, ,"2500 N Wickham Rd ,  ,  , (321) 242 8494"
-80.36239,26.06246, ,"7002 Matthews Mint Hill Rd ,  ,  , (704) 545 7856"
-80.35369,25.60023, ,"260 Concord Pkwy N ,  ,  , (704) 788 8424"
-80.34406,25.62171, ,"2100 W Roosevelt Blvd ,  ,  , (704) 289 8284"
-80.34005,25.5764, ,"Foydyce St Bldg 823  ,  ,  , (803) 666 3581"
-80.29717,26.00766, ,"11200 Sw 137th Ave ,  ,  , (305) 382 4842"
-80.29232,25.89851, ,"12500 Sw 8th St ,  ,  , (305) 221 8706"
-80.28479,26.16951, ,"18240 S Dixie Hwy ,  ,  , (305) 235 4801"
-80.25462,26.1206, ,"16025 S Dixie Hwy  ,  ,  , (305) 253 7160"
-80.25153,26.09474, ,"20505 Old Cutler Rd ,  ,  , (305) 233 6915"
-80.23462,25.77218, ,"11298 Pines Blvd ,  ,  , (954) 435 1558"
-80.23212,26.13602, ,"410 W 84th St  ,  ,  , (305) 826 5564"
-80.20936,25.85874, ,"3700 Curtiss Pkwy ,  ,  , (305) 871 1515"
-80.2065,25.98644, ,"10000 W Oakland Park Blvd  ,  ,  , (954) 749 9933"
-80.20459,26.23615, ,"2201 S University Dr ,  ,  , (954) 473 1636"
-80.20355,26.35488, ,"7871 Pines Blvd  ,  ,  , (954) 987 7933"
-80.19355,25.76625, ,"2390 W Flagler St ,  ,  , (305) 541 0485"
-80.18657,25.96196, ,"6125 W Sunrise Blvd ,  ,  , (954) 583 0488"
-80.17255,26.36813, ,"8995 Nw 7th Ave  ,  ,  , (305) 754 8453"
-80.16284,25.98524, ,"2631 S State Road 7 ,  ,  , (954) 963 3520"
-80.15522,33.03687, ,"550 N State Road 7 ,  ,  , (954) 972 9440"
-80.15355,26.27424, ,"21669 State Road 7  ,  ,  , (561) 487 7709"
-80.14625,25.94856, ,"10 Sw 8th St ,  ,  , (305) 373 8444"
-80.14314,26.03243, ,"900 Ives Dairy Rd  ,  ,  , (305) 653 9518"
-80.13884,25.77411, ,"8175 Glades Rd  ,  ,  , (561) 487 1492"
-80.13007,25.79078, ,"1030 W Hallandale Beach Blvd ,  ,  , (954) 454 3336"
-80.12449,26.13743, ,"1300 N Main St ,  ,  , (843) 875 1027"
-80.10989,26.40347, ,"2200 W Sample Rd  ,  ,  , (954) 971 4508"
-80.10774,32.80227, ,"2711 Ne 187th St ,  ,  , (305) 935 6151"
-80.10545,26.70699, ,"2319 N Federal Hwy  ,  ,  , (954) 923 5631"
-80.09785,26.18118, ,"1100 5th St  ,  ,  , (305) 531 9251"
-80.08844,33.01435, ,"201 Lincoln Rd ,  ,  , (305) 531 4008"
-80.07638,26.80869, ,"1725 E Sunrise Blvd ,  ,  , (954) 763 6652"
-80.06746,32.88632, ,"3579 Savannah Hwy ,  ,  , (843) 556 9211"
-80.02062,32.90548, ,"4175 Okeechobee Blvd ,  ,  , (561) 686 7496"
-80.01864,32.80117, ,"660 College Park Rd ,  ,  , (843) 797 0036"
-79.99181,32.82081, ,"6889 Dorchester Rd ,  ,  , (843) 552 8311"
-79.98731,32.86292, ,"6000 Rivers Ave ,  ,  , (843) 744 2782"
-79.96941,32.73261, ,"4709 Dorchester Rd ,  ,  , (843) 554 5610"
-79.9539,32.78533, ,"1812 Sam Rittenberg Blvd ,  ,  , (843) 571 0460"
-79.88762,34.29342, ,"1529 Savannah Hwy ,  ,  , (843) 556 3029"
-79.86372,32.79385, ,"1193 Sam Rittenberg Blvd ,  ,  , (843) 556 9147"
-79.7728,36.09039, ,"3917 Rivers Ave ,  ,  , (843) 747 1044"
-78.93102,33.71934, ,"7 Cherry St ,  ,  , (843) 723 0138"
-78.76282,35.77141, ,"225 Lamar Hwy  ,  ,  , (843) 393 1217"
-78.618,34.63245, ,"847 Coleman Blvd ,  ,  , (843) 884 7516"
-78.45016,35.64026, ,"1201 Summit Ave Ste B ,  ,  , (336) 273 8004"
-76.76997,34.72724, ,"3012 Hope Mills Rd ,  ,  , (910) 424 9621"
-76.73865,35.86012, ,"203 George Bishop Pkwy ,  ,  , (843) 236 6335"
-76.68075,39.15945, ,"1105 Walnut St ,  ,  , (919) 380 1313"
-76.5625,40.78839, ,"1200 W Broad St ,  ,  , (910) 862 8844"
-74.24537,39.75828, ,"4117 Arendell St ,  ,  , (252) 247 6100"
-74.04289,40.31107, ,"764 Us Highway 64 E ,  ,  , (252) 793 1199"
-70.29274,41.68136, ,"29 1st St ,  ,  ,"
-96.06696,41.26452,  #Fc1,"10000 California St ,  #Fc1 , Omaha , NE"
-106.52894,31.83002,  El Paso,"6002 N Mesa St ,  El Paso ,  TX  , (915) 845 3999"
-97.02098,33.04196,  Lewisville,"1104 W Main St ,  Lewisville , TX , (972) 436 1700"
-88.93521,30.40246,  Merritt Island,"1455 N Courtenay Parkway, ,  Merritt Island , FL , (321) 459 1641"
