"","X","budget","genres","homepage","id","keywords","original_language","original_title","overview","popularity","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","vote_average","vote_count"
"11",11,185000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]","http://thedarkknight.warnerbros.com/dvdsite/",155,"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 3151, ""name"": ""scarecrow""}, {""id"": 4426, ""name"": ""sadism""}, {""id"": 4630, ""name"": ""chaos""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9537, ""name"": ""joker""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10044, ""name"": ""tragic hero""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 18023, ""name"": ""criminal mastermind""}, {""id"": 33518, ""name"": ""district attorney""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 163074, ""name"": ""super villain""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 230775, ""name"": ""batman""}]","en","The Dark Knight","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008,1004558444,152,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]","Released","Why So Serious?","The Dark Knight",8.2,12002
"12",12,150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]","http://harrypotter.warnerbros.com/",674,"[{""id"": 2343, ""name"": ""magic""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 3873, ""name"": ""sorcerer's apprentice""}, {""id"": 3884, ""name"": ""school of witchcraft""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 4252, ""name"": ""black magic""}, {""id"": 6271, ""name"": ""boarding school""}, {""id"": 10629, ""name"": ""vision""}, {""id"": 12380, ""name"": ""tournament""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 188178, ""name"": ""teenage hero""}, {""id"": 223438, ""name"": ""based on young adult novel""}]","en","Harry Potter and the Goblet of Fire","Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.",101.250416,"[{""name"": ""Patalex IV Productions Limited"", ""id"": 462}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005,895921036,157,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]","Released","Dark And Difficult Times Lie Ahead.","Harry Potter and the Goblet of Fire",7.5,5608
"13",13,150000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]","http://movies.disney.com/frozen",109445,"[{""id"": 2011, ""name"": ""queen""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 7376, ""name"": ""princess""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 10115, ""name"": ""snowman""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10385, ""name"": ""reindeer""}, {""id"": 10541, ""name"": ""curse""}, {""id"": 10794, ""name"": ""snow""}, {""id"": 11173, ""name"": ""troll""}, {""id"": 155801, ""name"": ""mountain climber""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 209714, ""name"": ""3d""}]","en","Frozen","Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",165.125366,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013,1274219009,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Only the act of true love will thaw a frozen heart.","Frozen",7.3,5295
"14",14,140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]","",95,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 90, ""name"": ""paris""}, {""id"": 305, ""name"": ""moon""}, {""id"": 843, ""name"": ""cataclysm""}, {""id"": 1423, ""name"": ""asteroid""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1432, ""name"": ""nasa""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 9882, ""name"": ""space""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 164889, ""name"": ""eiffel tower paris""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 199076, ""name"": ""disaster movie""}, {""id"": 211487, ""name"": ""space centre""}]","en","Armageddon","When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,"[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Valhalla Motion Pictures"", ""id"": 11533}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998,553799566,151,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]","Released","The Earth's Darkest Day Will Be Man's Finest Hour","Armageddon",6.4,2482
"15",15,125000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]","http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html",671,"[{""id"": 616, ""name"": ""witch""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3335, ""name"": ""halloween""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 4456, ""name"": ""frog""}, {""id"": 170362, ""name"": ""fantasy world""}, {""id"": 223438, ""name"": ""based on young adult novel""}]","en","Harry Potter and the Philosopher's Stone","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",109.984351,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001,976475550,152,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Let the Magic Begin.","Harry Potter and the Philosopher's Stone",7.5,7006
"16",16,125000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]","http://www.missionimpossible.com/",955,"[{""id"": 321, ""name"": ""terror""}, {""id"": 514, ""name"": ""spain""}, {""id"": 591, ""name"": ""cia""}, {""id"": 720, ""name"": ""helicopter""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 1418, ""name"": ""skyscraper""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 2041, ""name"": ""island""}, {""id"": 2695, ""name"": ""ex-lover""}, {""id"": 3269, ""name"": ""secret mission""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 6104, ""name"": ""computer""}, {""id"": 12965, ""name"": ""duel""}, {""id"": 14675, ""name"": ""lethal virus""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18031, ""name"": ""rescue team""}, {""id"": 33705, ""name"": ""agent""}, {""id"": 33885, ""name"": ""car""}, {""id"": 191881, ""name"": ""research laboratory""}]","en","Mission: Impossible II","With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",54.931334,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Cruise/Wagner Productions"", ""id"": 44}, {""name"": ""Munich Film Partners & Company (MFP) MI2 Productions"", ""id"": 51199}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000,546388105,123,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Expect the impossible again.","Mission: Impossible II",5.9,1928
"17",17,115000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace",1893,"[{""id"": 530, ""name"": ""prophecy""}, {""id"": 1399, ""name"": ""senate""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 2063, ""name"": ""taskmaster""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 4488, ""name"": ""apprentice""}, {""id"": 6128, ""name"": ""taxes""}, {""id"": 161176, ""name"": ""space opera""}]","en","Star Wars: Episode I - The Phantom Menace","Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",54.035265,"[{""name"": ""Lucasfilm"", ""id"": 1}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999,924317558,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Every generation has a legend. Every journey has a first step. Every saga has a beginning.","Star Wars: Episode I - The Phantom Menace",6.3,4432
"18",18,100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]","",280,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 1366, ""name"": ""shotgun""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 11426, ""name"": ""moral ambiguity""}, {""id"": 11857, ""name"": ""mental institution""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 14946, ""name"": ""fictional war""}, {""id"": 160131, ""name"": ""morphing""}, {""id"": 160381, ""name"": ""nuclear weapons""}, {""id"": 162532, ""name"": ""shape shifter""}, {""id"": 175468, ""name"": ""savior""}, {""id"": 175472, ""name"": ""catch phrase""}]","en","Terminator 2: Judgment Day","Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",101.74155,"[{""name"": ""Lightstorm Entertainment"", ""id"": 574}, {""name"": ""Pacific Western"", ""id"": 1280}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Carolco Pictures"", ""id"": 14723}, {""name"": ""T2 Productions"", ""id"": 61409}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1991,5.2e+08,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]","Released","It's nothing personal.","Terminator 2: Judgment Day",7.7,4185
"19",19,94000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]","http://www.lordoftherings.net",122,"[{""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 3301, ""name"": ""suspicion""}, {""id"": 3930, ""name"": ""bravery""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9812, ""name"": ""honor""}, {""id"": 11173, ""name"": ""troll""}, {""id"": 14707, ""name"": ""brutality""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 162846, ""name"": ""ghost""}, {""id"": 173700, ""name"": ""end of trilogy""}, {""id"": 207372, ""name"": ""quest""}, {""id"": 234213, ""name"": ""sword and sorcery""}]","en","The Lord of the Rings: The Return of the King","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",123.630332,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003,1118888979,201,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","The eye of the enemy is moving.","The Lord of the Rings: The Return of the King",8.1,8064
"20",20,79000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]","http://www.lordoftherings.net/",121,"[{""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1653, ""name"": ""explosive""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 4268, ""name"": ""fort""}, {""id"": 6092, ""name"": ""army""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 10563, ""name"": ""attack""}, {""id"": 33788, ""name"": ""guide""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 189093, ""name"": ""ring""}, {""id"": 234213, ""name"": ""sword and sorcery""}]","en","The Lord of the Rings: The Two Towers","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]","[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002,926287400,179,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","A New Power Is Rising.","The Lord of the Rings: The Two Towers",8,7487
"21",21,45000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]","http://movies.disney.com/the-lion-king",8587,"[{""id"": 2143, ""name"": ""loss of parents""}, {""id"": 5276, ""name"": ""wild boar""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 11326, ""name"": ""shaman""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 13084, ""name"": ""king""}, {""id"": 14767, ""name"": ""scar""}, {""id"": 18136, ""name"": ""hyena""}, {""id"": 18153, ""name"": ""meerkat""}]","en","The Lion King","A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.",90.457886,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994,788241776,89,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Life's greatest adventure is finding your place in the Circle of Life.","The Lion King",8,5376
"22",22,75000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","",602,"[{""id"": 1612, ""name"": ""spacecraft""}, {""id"": 1627, ""name"": ""patriotism""}, {""id"": 1825, ""name"": ""countdown""}, {""id"": 4097, ""name"": ""independence""}, {""id"": 4278, ""name"": ""invasion""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9738, ""name"": ""ufo""}, {""id"": 9739, ""name"": ""extraterrestrial""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 14643, ""name"": ""battle""}]","en","Independence Day","On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",60.442593,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Centropolis Entertainment"", ""id"": 347}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996,816969268,145,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Earth. Take a good look. It might be your last.","Independence Day",6.7,3260
"23",23,150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","http://www.shrek2.com/",809,"[{""id"": 378, ""name"": ""prison""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 2676, ""name"": ""honeymoon""}, {""id"": 3453, ""name"": ""parents-in-law""}, {""id"": 4152, ""name"": ""kingdom""}, {""id"": 4158, ""name"": ""enchantment""}, {""id"": 4159, ""name"": ""dancing scene""}, {""id"": 4375, ""name"": ""transformation""}, {""id"": 6187, ""name"": ""fairy-tale figure""}]","en","Shrek 2","Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",47.320801,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004,919838758,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","Once upon another time...","Shrek 2",6.7,2988
"24",24,63000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","http://www.jurassicpark.com/",329,"[{""id"": 911, ""name"": ""exotic island""}, {""id"": 1718, ""name"": ""dna""}, {""id"": 1719, ""name"": ""paleontology""}, {""id"": 1720, ""name"": ""tyrannosaurus rex""}, {""id"": 1764, ""name"": ""triceratops""}, {""id"": 1765, ""name"": ""brontosaurus""}, {""id"": 1767, ""name"": ""electric fence""}, {""id"": 2041, ""name"": ""island""}, {""id"": 12616, ""name"": ""dinosaur""}, {""id"": 155582, ""name"": ""amusement park""}, {""id"": 158340, ""name"": ""theme park""}, {""id"": 178010, ""name"": ""jurassic park""}]","en","Jurassic Park","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",40.413191,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1993,920100000,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]","Released","An adventure 65 million years in the making.","Jurassic Park",7.6,4856
"25",25,55000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","",1924,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 3312, ""name"": ""nuclear missile""}, {""id"": 4270, ""name"": ""galaxy""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 15009, ""name"": ""criminal""}, {""id"": 15246, ""name"": ""sabotage""}, {""id"": 34154, ""name"": ""north pole""}, {""id"": 156230, ""name"": ""midwest""}, {""id"": 163420, ""name"": ""kryptonite""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 179102, ""name"": ""superhuman strength""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 193544, ""name"": ""save the day""}]","en","Superman","Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane − who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.",48.507081,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Dovemead Films"", ""id"": 51861}, {""name"": ""Film Export A.G."", ""id"": 51862}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1978,300218018,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","You'll Believe a Man Can Fly!","Superman",6.9,1022
"26",26,48000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]","http://www.indianajones.com/crusade",89,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 110, ""name"": ""venice""}, {""id"": 113, ""name"": ""holy grail""}, {""id"": 295, ""name"": ""library""}, {""id"": 483, ""name"": ""riddle""}, {""id"": 494, ""name"": ""father son relationship""}, {""id"": 1294, ""name"": ""whip""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 2847, ""name"": ""entrapment""}, {""id"": 2901, ""name"": ""crusader""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 11102, ""name"": ""panzer""}, {""id"": 14656, ""name"": ""order of the templars""}, {""id"": 41586, ""name"": ""archaeologist""}, {""id"": 176731, ""name"": ""indiana jones""}, {""id"": 184134, ""name"": ""archeology\u00a0""}]","en","Indiana Jones and the Last Crusade","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",80.972475,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1989,474171806,127,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""en"", ""name"": ""English""}]","Released","The man with the hat is back. And this time, he's bringing his Dad.","Indiana Jones and the Last Crusade",7.6,3152
"27",27,2600000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]","",10895,"[{""id"": 131, ""name"": ""italy""}, {""id"": 2251, ""name"": ""lie""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2710, ""name"": ""fairy""}, {""id"": 3244, ""name"": ""pinocchio""}, {""id"": 3473, ""name"": ""carnival""}, {""id"": 4896, ""name"": ""wish""}, {""id"": 5202, ""name"": ""boy""}, {""id"": 5560, ""name"": ""nose""}, {""id"": 6300, ""name"": ""puppet""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 33674, ""name"": ""conscience""}, {""id"": 33675, ""name"": ""jackass""}, {""id"": 33676, ""name"": ""figaro""}, {""id"": 33677, ""name"": ""sneezing""}, {""id"": 187065, ""name"": ""toy comes to life""}]","en","Pinocchio","Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!",46.007991,"[{""name"": ""RKO Radio Pictures"", ""id"": 6}, {""name"": ""Walt Disney Productions"", ""id"": 3166}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1940,84300000,88,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","For anyone who has ever wished upon a star.","Pinocchio",6.9,1355
"28",28,32350000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi",1892,"[{""id"": 526, ""name"": ""rebel""}, {""id"": 1155, ""name"": ""brother sister relationship""}, {""id"": 2280, ""name"": ""emperor""}, {""id"": 2902, ""name"": ""space battle""}, {""id"": 5144, ""name"": ""matter of life and death""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 10013, ""name"": ""death star""}, {""id"": 10014, ""name"": ""jabba the hutt""}, {""id"": 10015, ""name"": ""ewoks""}, {""id"": 10527, ""name"": ""jedi""}, {""id"": 161176, ""name"": ""space opera""}]","en","Return of the Jedi","As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force.",46.509071,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1983,572700000,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Released","The Empire Falls...","Return of the Jedi",7.9,4665
