scena,linia,klucz
30,Marla steps down hard on Jack's foot. He winces in pain.,62
30,MARLA,63
30,(for the Clerk to hear),63
30,"Yes, I'm selling some chothes.",63
30,The Clerk starts to ring up the assessed amounts.,63
30,MARLA,64
30,"So, we each have three -- that's six.",64
30,What about the seventh day? I want,64
30,ascending bowel cancer.,64
30,JACK (V.O.),65
30,The girl had done her homework.,65
30,JACK,66
30,I want ascending bowel cancer.,66
30,The Clerk gives a strange look as he hands money to Marla.,66
30,MARLA,67
30,"That's your favorite, too? Tried to",67
30,"slip it by me, eh?",67
30,JACK,68
30,We'll split it. You get it the first,68
30,and third Sunday of the month.,68
30,MARLA,69
30,Deal.,69
30,They shake. Jack tries to withdraw his hand; Marla holds it.,69
30,MARLA,70
30,Looks like this is goodbye.,70
30,JACK,71
30,Let's not make a big thing out of it.,71
30,"She walks to the door, pocketing money, not looking back.",71
30,MARLA,72
30,How's this for not making a big thing?,72
30,"Jack watches her go. A moment, then he follows after...",72
30,EXT. SIDEWALK - CONTINUOUS,72
30,"Jack hesitates, unsure, then run/walks to catch up to her...",72
30,JACK,73
30,"Um... Marla, should we maybe exchange",73
30,numbers?,73
30,MARLA,74
30,Should we?,74
30,JACK,75
30,In case we want to switch nights.,75
30,MARLA,76
30,I suppose.,76
30,"Jack takes out a business card, writes his number on the",76
30,"back, hands it to her. She takes the pen, grabs his hand",76
30,and writes her number on his palm. She walks into the,76
30,"street, causing more SCREECHING and HONKING. She turns,",76
30,holds up the card.,76
30,MARLA,77
30,It doesn't have your name. Who are,77
30,you? Cornelius? Mr. Taylor? Dr.,77
30,Zaius? Any of the stupid names you,77
30,give each night?,77
30,"Jack starts to answer, but the traffic noise is too loud.",77
30,"Marla just shakes her head, turns, and keeps moving. A BUS",77
30,"moves into view, obscuring her.",77
30,JACK (V.O.),78
30,This is how I met Marla Singer.,78
69,"INT. MARLA'S BUILDING, HALLWAY - SAME",79
69,"Marla's in the HALL, on the PAYPHONE, twisting the phone",79
69,cord around her neck.,79
69,MARLA,80
69,Where have you been the last few,80
69,weeks?,80
69,JACK,81
69,Marla?,81
69,"Jack looks through the archway and sees Tyler, in his gummy",81
69,"flannel bathrobe, doing sit-ups. Jack leans, cups the phone.",81
69,JACK,82
69,(quietly),82
69,How did you find me?,82
69,MARLA,83
69,The forwarding number. I haven't,83
69,seen you at any support groups.,83
69,JACK,84
69,That's the idea -- we split them.,84
69,MARLA,85
69,You haven't been going to yours.,85
69,JACK,86
69,I found a new one.,86
69,MARLA,87
69,Really?,87
69,JACK,88
69,It's for men.,88
69,MARLA,89
69,Like testicular cancer?,89
69,JACK,90
69,"Look, this is a bad time...",90
69,MARLA,91
69,I've been going to debtor's,91
69,anonymous. You want to see some,91
69,truly fucked up people?,91
69,JACK,92
69,I'm just on my way out...,92
69,MARLA,93
69,Me too. I got a stomach full of,93
69,Xanax. I took what was left of a,93
69,bottle. Might've been too much.,93
69,"Jack looks exasperated, turns TO LOOK INTO THE CAMERA.",93
69,JACK (V.O.),94
69,Picture yourself watching Marla,94
69,Singer throw herself around her,94
69,crummy apartment.,94
69,MARLA,95
69,This isn't a for-real suicide thing.,95
69,This is probably one of those cry-for-,95
69,help things.,95
69,JACK (V.O.),96
69,This could go on for hours.,96
69,JACK,97
69,So you're staying in tonight?,97
69,MARLA,98
69,Do you want to wait to hear me,98
69,describe death?,98
69,"Jack puts the handset on top of the phone, still off the",98
69,"hook, walks out the back door.",98
69,MARLA'S VOICE,98
69,Do you want to listen and see if my,98
69,spirit can use the telephone?,98
69,"Thru the archway: Tyler leans to look in, curious.",98
74,INT. KITCHEN - MORNING,99
74,"Jack sits at the table, sips coffee, read Reader's Digest.",99
74,He hears FOOTSTEPS approaching.,99
74,JACK,100
74,You're not going to believe what I,100
74,dreamt last night.,100
74,"Marla walks in, straightening her dress, looks like she's",100
74,been raped by a hurricane. Jack's jaw drops.,100
74,MARLA,101
74,I can hardly believe anything about,101
74,last night.,101
74,"Marla goes to pour coffee. She takes a swig, GARGLES and",101
74,SPITS it in the sink. She gives Jack a lascivious smile.,101
74,JACK,102
74,What are you doing here?,102
74,MARLA,103
74,What... ?,103
74,JACK,104
74,What the hell are you doing here?,104
74,"Marla stares at him a beat, then drops the cup in the sink.",104
74,MARLA,105
74,Fuck you.,105
74,Marla shoves open the door to the backyard and walks out.,105
74,"Jack gets up, watches her stomp away.",105
74,"Jack turns and -- Tyler is at his shoulder, staring after",105
74,"Marla. He's in his usual sweatpants. He grins at Jack,",105
74,"then moves away, pours himself coffee. Jack, smoldering,",105
74,slumps at the table and picks up Reader's Digest. Tyler,105
74,"puts his foot on a countertop, does stretching exercises.",105
74,TYLER,106
74,She's a piece of work. Get this --,106
74,"I come in here last night, the",106
74,phone's off the hook...,106
74,"Jack pretends to read, quickly glances at Tyler. TYLER'S",106
74,VOICE FADES...,106
74,JACK (V.O.),107
74,I already knew the story before he,107
74,told it to me.,107
77,INT. MARLA'S ROOM - CONTINUOUS (FLASHBACK),108
77,Marla pulls Tyler inside and shuts the door. Her drugged,108
77,eyes look him over.,108
77,MARLA,109
77,You got here fast.,109
77,"She staggers and sits on the bed. She slides off, along",109
77,"with the blanket and sheets, to the floor.",109
77,MARLA,110
77,The mattresses are all sealed in,110
77,slippery plastic.,110
77,She tries to focus her eyes on Tyler.,110
77,MARLA,111
77,Did I call you?,111
77,"Tyler studies her with cynical curiosity, looks at a DILDO",111
77,lying atop a dresser. Marla follows his gaze.,111
77,MARLA,112
77,Don't worry. It's not a threat to you.,112
77,SIRENS and vehicles SCREECHING outside can be HEARD; doors,112
77,opening and SLAMMING; running FOOTFALLS.,112
77,MARLA,113
77,"Oh, no! Somebody called the cops...",113
77,"She gets to her feet, grabs Tyler, pulls him out the door.",113
78,INT. HALLWAY (FLASHBACK),114
78,"Marla LOCKS her door, then pulls Tyler toward the STAIRCASE.",114
78,COPS and PARAMEDICS charge up with oxygen and medical kits.,114
78,Marla and Tyler flatten against the wall to let them pass.,114
78,COP,115
78,8-G! Where's 8-G?,115
78,MARLA,116
78,(pointing),116
78,End of the hall.,116
78,The rescuers keep running.,116
78,MARLA,117
78,(calling after),117
78,The girl who lives there used to be,117
78,"a charming, lovely girl, but she's",117
78,lost faith in herself...,117
78,COP,118
78,"Miss Singer, let us help you! You",118
78,have every reason to live!,118
78,"Marla yanks Tyler's arm, heading down the stairs.",118
78,MARLA,119
78,She's a monster! Infectious human,119
78,waste! Good luck trying to save her!,119
79,INT. KITCHEN - NIGHT (FLASHBACK),120
79,Tyler makes coffee. Marla slouches against the refrigerator.,120
79,MARLA,121
79,"If I fall asleep, I'm done for.",121
79,You're gonna have to keep me up all,121
79,night.,121
81,INT. TYLER'S ROOM - NIGHT (FLASHBACK),122
81,"Tyler smokes, post-coital. Marla puts her lips to his ear.",122
81,MARLA,123
81,(whispering),123
81,I want to have your abortion.,123
91,INT. POLICE STATION - OFFICE,124
91,"A cop, DETECTIVE STERN, refers to a file.",124
91,DETECTIVE STERN,124
91,This is Detective Stern with the,124
91,arson unit. We have some new,124
91,"information about the ""incident"" at",124
91,your condo.,124
91,JACK,125
91,Yes?,125
91,DETECTIVE STERN,125
91,I don't know if you're aware... your,125
91,front door -- it seems someone,125
91,"sprayed freon into the lock, then",125
91,tapped it with a chisel to shatter,125
91,the cylinder.,125
91,JACK,126
91,"No, I wasn't aware...",126
91,JACK (V.O.),127
91,I am Jack's Cold Sweat.,127
91,DETECTIVE STERN,127
91,Does this sound strange to you?,127
91,JACK,128
91,"Yes, sire, strange. Very strange.",128
91,"Jack starts to sweat, scrubs his pants obsessively.",128
91,DETECTIVE STERN,128
91,The dynamite...,128
91,JACK,129
91,Dynamite?,129
91,DETECTIVE STERN,129
91,Yes. It left a residue of ammonium,129
91,oxalate and potassium perchloride.,129
91,Do you know what that means?,129
91,JACK,130
91,What does that mean?,130
91,DETECTIVE STERN,130
91,It means it was homemade.,130
91,JACK,131
91,This is... really a shock...,131
91,DETECTIVE STERN,131
91,Whoever set this homemade dynamite,131
91,could've blown out the pilot light,131
91,"days before the explosion. The gas,",131
91,"it seems, was just a detonator.",131
91,JACK,132
91,Who do you think could've done this?,132
91,DETECTIVE STERN,132
91,"I'll ask the questions, son.",132
91,TYLER,133
91,(whispering in Jack's ear),133
91,Tell him...,133
91,"Jack almost leaps out his skin, startled; looks to see Tyler",133
91,standing right next to him.,133
91,JACK,134
91,Huh?,134
91,TYLER,135
91,(overlap w/below),135
91,"""The liberator who destroyed my",135
91,property has re-aligned my paradigm,135
91,"of perception.""",135
91,JACK,136
91,Shhhhhh!,136
91,"(into phone,",136
91,overlap w/above),136
91,"I don't know what to make of this,",136
91,"sir, I really don't...",136
91,DETECTIVE STERN,136
91,Do you know anyone who'd have the,136
91,expertise or motive to do something,136
91,like this?,136
91,TYLER,137
91,"""I reject the basic assumptions of",137
91,"civilization, including material",137
91,"possession.""",137
91,"Jack pushes Tyler away, cups the receiving.",137
91,JACK,138
91,(into phone),138
91,"No. No, sir. I loved that condo.",138
91,I loved every stick of furniture.,138
91,"The lamps, the chairs, the rugs, were",138
91,me. The dishes were me. The plants,138
91,were...,138
91,JACK (V.O.),139
91,I'd like to thank the academy...,139
91,DETECTIVE STERN,139
91,"Well, if any ideas come to you, give",139
91,"me a call. In the meantime, don't",139
91,leave town. I may need to bring you,139
91,in for questioning.,139
91,END INTERCUT,139
91,Jack hangs up. Tyler shrugs.,139
91,TYLER,140
91,Could be worse. You could be cursed,140
91,with the three terrible Karmas. You,140
91,"could be beautiful, rich and famous.",140
91,"Jack turns away, continues to scrub his pants. Marla's",140
91,FOOTSTEPS can be HEARD coming downstairs...,140
91,"Jack really grinds the soap against the pants, splashing",140
91,"water. He turns, sees Marla enter. Tyler is GONE. Marla",140
91,lights a cigarette.,140
91,JACK (V.O.),141
91,"Except for their humping, Tyler and",141
91,Marla were never in the same room.,141
91,MARLA,142
91,I got this dress at a thrift store,142
91,for one dollar.,142
91,JACK,143
91,(keeps scrubbing),143
91,Worth every penny.,143
91,JACK (V.O.),144
91,My parents pulled this exact act for,144
91,"years -- one came in, the other",144
91,disappeared.,144
91,"Marla begins a slow, exotic dance, moving very close to",144
91,"Jack. She lifts her dress dangerously high, dancing close",144
91,"to Jack's body, almost touhcing.",144
91,MARLA,145
91,(seductive),145
91,It's a bridesmaid's dress. Someone,145
91,"loved it intensely for one day, then",145
91,tossed it. Like a Christmas tree --,145
91,"so special, then, bam -- it's",145
91,"abandoned on the side of the road,",145
91,tinsel still clinging to it...,145
91,"Jack becomes very aware of having no pants on, presses",145
91,against the counter. Marla pulls her hemline further up.,145
91,MARLA,146
91,"Like sex crime victims, underwear",146
91,"inside-out, bound with electrical",146
91,tape.,146
91,JACK,147
91,(coldly),147
91,It suits you.,147
91,"She leans in very close to Jack's ear, whispers hoarsely:",147
91,MARLA,148
91,You can borrow it sometime.,148
91,"Jack takes a step away, keeps scrubbing. Marla blows smoke",148
91,in his face. Jack takes her cigarette and throws it in the,148
91,"sink. Marla backs away, fed up, storms out, going UPSTAIRS.",148
91,TYLER (O.S.),149
91,Get rid of her.,149
91,Jack turns to see Tyler in the doorway.,149
91,JACK,150
91,You get rid of her.,150
91,TYLER,151
91,(pointing at Jack),151
91,Don't mention me.,151
91,Marla's FOOTSTEPS are coming DOWNSTAIRS. Jack looks to the,151
91,"archway, then back at -- Tyler's GONE. Marla enters, shoes",151
91,"and balled up clothing under one arm, looking for something",151
91,on the junk strewn table.,151
91,JACK (V.O.),152
91,"I'm six years old again, passing",152
91,messages between my parents.,152
91,JACK,153
91,"I, uh... think you should go now.",153
91,"Marla ignores, still searching the table, tossing things,",153
91,pushing other things off to the floor.,153
91,JACK,154
91,It's time for you to leave.,154
91,MARLA,155
91,"Don't worry, I'm leaving.",155
91,"Marla finds what she wanted, a pack of cigarettes. She",155
91,moves up into Jack's face.,155
91,MARLA,156
91,"You're such a nutcase, I can't even",156
91,begin to keep up.,156
91,JACK,157
91,Goodbye.,157
91,"She laughs, spins on her heels. As she exits the back door,",157
91,"she sings ""This Merry-Go-Round"" from ""Valley of the Dolls.""",157
91,Jack watches her through the kitchen window.,157
91,TYLER (O.S.),158
91,Nice work.,158
91,"Jack turns. Tyler's right behind him. Through the window,",158
91,Marla can be seen walking away. Tyler picks up the remnant,158
91,"of SOAP Jack's been using, holds it up to Jack.",158
91,TYLER,159
91,"To make soap, first we have to render",159
91,fat.,159
91,Jack looks at Tyler.,159
91,"CLOSE UP - SIGN: ""DANGER - BIOHAZARD.""",159
91,EXT. FENCED-IN BIOHAZARD WASTE DUMP SITE - NIGHT,159
91,"Tyler stands inside the fence. Jack's atop the fence,",159
91,"struggling to cross BARBED WIRE. He wobbles, gets over,",159
91,"snags his shirt. Jack falls, RIPPPPP. Tyler helps.",159
91,FOOTSTEPS. A FLASHLIGHT BEAM. Tyler pulls Jack behind a,159
91,"DUMPSTER, one of DOZENS. A silhouette of a SECURITY GUARD",159
91,"moves along the perimeter, flashlight first. He walks away.",159
91,"MOVE BACK to Tyler and Jack, who emerge from hiding. Tyler",159
91,eagerly grabs the lid of the closest dumpster.,159
91,TYLER,160
91,The best fat for making soap --,160
91,because the salt balance is just,160
91,right -- comes form human bodies...,160
91,Tyler lifts the lid -- it CREAKS.,160
91,JACK,161
91,What is this place?,161
91,TYLER,162
91,A liposuction clinic.,162
91,"From the dumpster, Tyler pulls out an industrial-sized,",162
91,thick plastic bag full of PINK GOO.,162
91,TYLER,163
91,Paydirt. From society's richest,163
91,asses and thighs.,163
91,"TIME CUT: Tyler and Jack climb back over the fence, carrying",163
91,"BAGS of fat. One of Jack's bags RIPS, spilling the goo down",163
91,the chain-link fench. Jack slips and slides. Tyler laughs.,163
91,Tyler tries to scoop the running fat back into the bag.,163
94,INT. JACK'S OFFICE - DAY,164
94,"Jack sits at his desk, playing a game on his computer,",164
94,smoking a cigarette. Boss enters.,164
94,JACK (V.O.),165
94,He was wearing a yellow tie. It must,165
94,be Thursday. I didn't even wear a tie,165
94,to work anymore.,165
94,Boss slaps a piece of PAPER down on Jack's desk.,165
94,BOSS,166
94,"""The first rule of fight club is you",166
94,"don't talk about fight club.""",166
94,"Jack snuffs his cigarette in an ashtray, stares up stoically.",166
94,JACK (V.O.),167
94,I must've left the original in the,167
94,copy machine.,167
94,BOSS,168
94,"""The second rule of fight club...",168
94,Is this yours?,168
94,JACK,169
94,Hmm?,169
94,BOSS,170
94,You don't get paid to abuse the copy,170
94,machine.,170
94,JACK,171
94,"""Abuse"" the copy machine. There's an",171
94,image.,171
94,BOSS,172
94,Pretend you're me. You find this.,172
94,What would you do?,172
94,"Jack rises slowly, walks to his door, shuts it.",172
94,JACK,173
94,Me? I'd be very careful who I talked,173
94,to about this. It sounds like,173
94,someone dangerous wrote it... someone,173
94,"who might snap at any moment,",173
94,stalking from office to office with,173
94,an Armalite AR-10 Carbine-gas,173
94,"semiautomatic, bitterly pumping round",173
94,after round into colleagues and co-,173
94,workers.,173
94,"Jack moves very close to Boss, picks up the PAPER and starts",173
94,tearing it into pieces.,173
94,JACK,174
94,Might be someone you've known for,174
94,years... somebody very close to you.,174
94,"Or, maybe you shouldn't be bringing",174
94,me every little piece of trash you,174
94,pick up.,174
94,Jack puts the PAPER in his trash. Bass stares with a tinge,174
94,"of outrage, a tinge of fear. PHONE RINGS. Jack answers it.",174
94,JACK,175
94,Compliance and Liability.,175
94,MARLA'S VOICE,175
94,My tit's going to rot off.,175
94,JACK,176
94,Just a second.,176
94,(to Boss; smiles),176
94,Could you excuse me? I need to take,176
94,this call.,176
94,"Boss goes to the door, stares at Jack a beat, then leaves.",176
94,JACK,177
94,(into phone),177
94,What are you talking about?,177
94,INTERCUT WITH - CLOSE UP OF MARLA...,178
94,MARLA,179
94,Would you do something for me? I,179
94,need you to check and see if there's,179
94,a lump in my breast. I can't afford,179
94,to throw money away on a doctor.,179
94,JACK,180
94,I don't know ...,180
94,MARLA,181
94,Please.,181
94,JACK (V.O.),182
94,She didn't call Tyler. I'm neutral,182
94,in her book.,182
94,EXT. MARLA'S HOTEL - SUNSET,182
94,"Jack walks down the sidewalk, seeing Marla take two BOXES",182
94,"from a VAN with the sign ""MEALS ON WHEELS.""",182
95,INT. MARLA'S ROOM - MOMENTS LATER,183
95,Marla leads Jack inside.,183
95,JACK,184
95,This is a sweet side of you. Picking,184
95,these up for ...,184
95,(reads the boxes:),184
95,"""Mrs. Haniver"" and... ""Mrs. Raines.""",184
95,Where are they?,184
95,MARLA,185
95,"Tragically, they're dead. I'm alive",185
95,and I'm in poverty. You want any?,185
95,JACK,186
95,"No, thanks.",186
95,MARLA,187
95,Good.,187
95,He stares at her while she eats.,187
95,MARLA,188
95,What happened to your hand?,188
95,Jack awkwardly puts his bandaged hand behind his back.,188
95,JACK,189
95,Nothing.,189
96,INT. MARLA'S ROOM - NIGHT,190
96,Marla stands facing a MIRROR with her shirt open. Jack,190
96,stands behind her with his hand on the bottom side of her,190
96,breast. Marla's hand guides his.,190
96,JACK,191
96,Where? Here?,191
96,MARLA,192
96,Here.,192
96,JACK,193
96,There?,193
96,MARLA,194
96,Here.,194
96,JACK,195
96,Here.,195
96,MARLA,196
96,Feel anything?,196
96,JACK,197
96,No.,197
96,"Jack's head is behind Marla's. They speak softer, slower.",197
96,MARLA,198
96,Make sure.,198
96,JACK,199
96,"Okay. Okay, I'm sure.",199
96,MARLA,200
96,You feel nothing?,200
96,JACK,201
96,Nothing.,201
96,"Marla turns around and faces him, begins to button her shirt.",201
96,MARLA,202
96,"Well, that's a relief. Thank you.",202
96,JACK,203
96,No... no problem.,203
96,MARLA,204
96,I wish I could return the favor.,204
96,"Jack touches his own chest, shakes his head.",204
96,JACK,205
96,I think everything's okay here.,205
96,MARLA,206
96,I could check your prostate.,206
96,JACK,207
96,Uh ... nah.,207
96,MARLA,208
96,(pause),208
96,"Well... thanks, anyway.",208
96,Marla leans to kiss him -- lingers for a bit longer than,208
96,just friendly. Jack pulls away.,208
96,JACK,209
96,So.... are we done?,209
96,Marla sighs.,209
96,MARLA,210
96,"Yeah, we're done. See you around.",210
96,EXT. HOTEL - MOMENTS LATER,210
96,"Jack emerges from the lobby. He looks up at Marla's window,",210
96,"watches her silhouette. He walks away, right into -- Big",210
96,"BOB, the moose, eating a donut and drinking orange juice.",210
96,BOB,211
96,Cornelius! How are you?,211
96,JACK,212
96,Bob. I'm okay. How are you?,212
96,BOB,213
96,Better than I've ever been in my life.,213
96,JACK,214
96,"Really? Great. Still ""Remaining Men",214
96,"Together?""",214
96,An intense look of born-again fervor comes over Bob's face.,214
96,BOB,215
96,No. I found something new.,215
96,JACK,216
96,"Really, what's that?",216
96,BOB,217
96,(quietly),217
96,The first rule is... you aren't,217
96,supposed to talk about it...,217
96,JACK,218
96,Oh.,218
96,BOB,219
96,And the second rule about it is...,219
96,you're not supposed to talk about it.,219
96,And the third rule...,219
96,JACK,220
96,"Bob, Bob... I'm a member.",220
96,BOB,221
96,You are?!,221
96,JACK,222
96,Look at my face.,222
96,Bob roughly slaps Jack's shoulder.,222
96,BOB,223
96,"That's a fucking great, man! Fucking",223
96,great! Congratulations.,223
96,JACK,224
96,"Yeah, both of us.",224
96,BOB,225
96,You know about the guy who invented,225
96,it? I hear all kinds of things.,225
96,"Supposedly, he was born in a mental",225
96,institution. They say he only sleeps,225
96,one hour a night. You know about,225
96,this guy? Tyler Durden?,225
121,INT. KITCHEN - MOMENTS LATER,226
121,"Jack sits at the table, sips coffee. He's pale, dazed,",226
121,seems broken. He hears the faint SOUND of SAWING and,226
121,"HAMMERING, unsure of where it's coming from.",226
121,Marla walks into the kitchen and goes straight to the,226
121,counter. Her back is to Jack as he looks at her. She pours,226
121,"ccffee and lights a cigarette. A beat of silence, then:",226
121,MARLA,227
121,I'll be out of your way in a sec.,227
121,She seems to be as weak as Jack.,227
121,JACK,228
121,You... don't have to... leave.,228
121,MARLA,229
121,Whatever.,229
121,JACK,230
121,Really... I mean it.,230
121,(pause),230
121,Have you been going to your groups?,230
121,MARLA,231
121,Chloe's dead.,231
121,JACK,232
121,When?,232
121,MARLA,233
121,Do you care?,233
121,JACK,234
121,I don't know.,234
121,MARLA,235
121,It was the smart move on her part.,235
121,"Marla turns to face Jack, a grim expression on her face.",235
121,"There's a BRUISE on her ARM. Jack gets up, moves closer.",235
121,JACK,236
121,Why are we both... caught up like,236
121,this... with... ?,236
121,JACK (V.O.),237
121,I came so close to saying Tyler's,237
121,"name, I could feel it vibrate inside",237
121,my mouth.,237
121,"Marla looks a him, waiting.",237
121,JACK,238
121,I don't understand. Why does a weak,238
121,person have to go out and find a,238
121,strong person... to hang onto?,238
121,MARLA,239
121,What do you get out of it?,239
121,Faint SOUND of SAWING and HAMMERING. Jack can't quite,239
121,figure where it's coming from.,239
121,JACK,240
121,You hear that?,240
121,MARLA,241
121,Hear what?,241
121,JACK,242
121,That... sawing and hammering.,242
121,MARLA,243
121,Have we been talking too long? Must,243
121,we change the subject?,243
121,"Jack turns -- through the crack of the open basement door,",243
121,Tyler's staring at Jack from the bottom of the stairs.,243
121,TYLER,244
121,(harsh whisper),244
121,"You're not talking about me, are you?",244
121,"Jack reacts, turns back to Marla.",244
121,JACK,245
121,(to Marla and Tyler),245
121,No.,245
121,MARLA,246
121,That day you came over to my place to,246
121,play doctor... what was going on,246
121,there?,246
121,TYLER,247
121,(still a whisper),247
121,What are you talking about?,247
121,JACK,248
121,(to Marla and Tyler),248
121,Nothing.,248
121,MARLA,249
121,Nothing? I don't think so.,249
121,TYLER,250
121,(whisper),250
121,This conversation...,250
121,JACK,251
121,This conversation...,251
121,TYLER,252
121,... is over.,252
121,JACK,253
121,... is over.,253
121,Marla comes to touch Jack's hair. Jack closes the basement,253
121,"door. Marla sees the kiss-scar on Jack's hand, grabs his",253
121,"hand. Jack tries to pull it back, but Marla keeps a grip.",253
121,MARLA,254
121,What is this? Who did this?,254
121,JACK,255
121,... A person.,255
121,MARLA,256
121,Guy or girl?,256
121,JACK,257
121,Why would you ask if it's a guy or a,257
121,girl?!,257
121,MARLA,258
121,Why would you get bent if I asked?,258
121,JACK,259
121,Let go of me...,259
