all_data_2,scena
<br><b><u>JACK</u>:</b><br>,28
These are my groups. I was here first. I've been coming for a year.,28
<br><b><u>MARLA</u>:</b><br>,28
A year? How'd you manage that?,28
<br><b><u>JACK</u>:</b><br>,28
Anyone who might've noticed either died or recovered and never came back.,28
<br><b><u>LEADER</u>:</b><br>,28
Let yourself cry.,28
<br><b><u>MARLA</u>:</b><br>,28
Why do you do it?,28
<br><b><u>JACK</u>:</b><br>,28
"I... I don't know. I guess... when people think you're dying, they really listen, instead...",28
<br><b><u>MARLA</u>:</b><br>,28
-- Instead of just waiting for their turn to speak.,28
<br><b><u>JACK</u>:</b><br>,28
"Yeah. Brief recognition between them, broken as the Leader passes.",28
<br><b><u>LEADER</u>:</b><br>,28
"Quietly, now. Share with each other. Jack waits till the Leader's out of earshot.",28
<br><b><u>JACK</u>:</b><br>,28
(warning) It becomes an addiction.,28
<br><b><u>MARLA</u>:</b><br>,28
"Really? Jack sighs, then pulls back.",28
<br><b><u>JACK</u>:</b><br>,28
"Look, I can't cry with a faker present.",28
<br><b><u>MARLA</u>:</b><br>,28
Candy-stripe a cancer ward. It's not my problem.,28
<br><b><u>JACK</u>:</b><br>,28
Please. Can't we do something... ? Marla starts out of the room. Jack follows her.,28
<br><b><u>LEADER</u>:</b><br>,28
"Now, the closing prayer. EXT. CHURCH - NIGHT - CONTINUOUS Marla gets to the sidewalk, moving quickly along.",28
<br><b><u>JACK</u>:</b><br>,28
"We'll split up the week. You can have lymphoma, tuberculosis and --",28
<br><b><u>MARLA</u>:</b><br>,28
You take tuberculosis. My smoking doesn't go over at all.,28
<br><b><u>JACK</u>:</b><br>,28
I think testicular cancer should be no contest.,28
<br><b><u>MARLA</u>:</b><br>,28
"Well, technically, I have more of a right to be there than you. You still have your balls.",28
<br><b><u>JACK</u>:</b><br>,28
You're kidding.,28
<br><b><u>MARLA</u>:</b><br>,28
I don't know -- am I? Jack follow Marla into...<br><a href='#top'>gora strony</a>,28
<h3>INT. LAUNDROMAT - CONTINUOUS</h3><br><a name='top'></a>,29
"Marla walks with authority up to an unwatched DRYER. She takes out clothes, picks out jeans, pants and shirts.",29
<br><b><u>MARLA</u>:</b><br>,29
I'll take the parasites.,29
<br><b><u>JACK</u>:</b><br>,29
You can't have both parasites. You can take blood parasites --,29
<br><b><u>MARLA</u>:</b><br>,29
I want brain parasites.,29
<br><b><u>JACK</u>:</b><br>,29
Okay. I'll take blood parasites and organic brain dementia --,29
<br><b><u>MARLA</u>:</b><br>,29
I want that.,29
<br><b><u>JACK</u>:</b><br>,29
You can't have the whole brain!,29
<br><b><u>MARLA</u>:</b><br>,29
"So far, you have four and I only have two!",29
<br><b><u>JACK</u>:</b><br>,29
"Then, take blood parasites. It's yours. Now we each have three. Marla gathers the chosen garments and heads out past Jack... EXT. SIDEWALK - CONTINUOUS Jack follows, bewildered.",29
<br><b><u>JACK</u>:</b><br>,29
"You... left half your clothes. HONK! Jack starts. Marla's led him into the street with traffic barreling down. Marla walks on, oblivious as CARS screech to a halt, HORNS BLARING. Jack dashes, following...<br><a href='#top'>gora strony</a>",29
<h3>INT. THRIFT STORE - CONTINUOUS</h3><br><a name='top'></a>,30
"Marla drops the pile of clothes on a counter. An old CLERK sifts through the clothes, begins writing on a pad.",30
<br><b><u>JACK</u>:</b><br>,30
You're selling those? Marla steps down hard on Jack's foot. He winces in pain.,30
<br><b><u>MARLA</u>:</b><br>,30
"(for the Clerk to hear) Yes, I'm selling some chothes. The Clerk starts to ring up the assessed amounts.",30
<br><b><u>MARLA</u>:</b><br>,30
"So, we each have three -- that's six. What about the seventh day? I want ascending bowel cancer.",30
<br><b><u>JACK (V.O.)</u>:</b><br>,30
The girl had done her homework.,30
<br><b><u>JACK</u>:</b><br>,30
I want ascending bowel cancer. The Clerk gives a strange look as he hands money to Marla.,30
<br><b><u>MARLA</u>:</b><br>,30
"That's your favorite, too? Tried to slip it by me, eh?",30
<br><b><u>JACK</u>:</b><br>,30
We'll split it. You get it the first and third Sunday of the month.,30
<br><b><u>MARLA</u>:</b><br>,30
Deal. They shake. Jack tries to withdraw his hand; Marla holds it.,30
<br><b><u>MARLA</u>:</b><br>,30
Looks like this is goodbye.,30
<br><b><u>JACK</u>:</b><br>,30
"Let's not make a big thing out of it. She walks to the door, pocketing money, not looking back.",30
<br><b><u>MARLA</u>:</b><br>,30
"How's this for not making a big thing? Jack watches her go. A moment, then he follows after... EXT. SIDEWALK - CONTINUOUS Jack hesitates, unsure, then run/walks to catch up to her...",30
<br><b><u>JACK</u>:</b><br>,30
"Um... Marla, should we maybe exchange numbers?",30
<br><b><u>MARLA</u>:</b><br>,30
Should we?,30
<br><b><u>JACK</u>:</b><br>,30
In case we want to switch nights.,30
<br><b><u>MARLA</u>:</b><br>,30
"I suppose. Jack takes out a business card, writes his number on the back, hands it to her. She takes the pen, grabs his hand and writes her number on his palm. She walks into the street, causing more SCREECHING and HONKING. She turns, holds up the card.",30
<br><b><u>MARLA</u>:</b><br>,30
"It doesn't have your name. Who are you? Cornelius? Mr. Taylor? Dr. Zaius? Any of the stupid names you give each night? Jack starts to answer, but the traffic noise is too loud. Marla just shakes her head, turns, and keeps moving. A BUS moves into view, obscuring her.",30
<br><b><u>JACK (V.O.)</u>:</b><br>,30
This is how I met Marla Singer.<br><a href='#top'>gora strony</a>,30
"<h3>INT. MARLA'S BUILDING, HALLWAY - SAME</h3><br><a name='top'></a>",69
"Marla's in the HALL, on the PAYPHONE, twisting the phone cord around her neck.",69
<br><b><u>MARLA</u>:</b><br>,69
Where have you been the last few weeks?,69
<br><b><u>JACK</u>:</b><br>,69
"Marla? Jack looks through the archway and sees Tyler, in his gummy flannel bathrobe, doing sit-ups. Jack leans, cups the phone.",69
<br><b><u>JACK</u>:</b><br>,69
(quietly) How did you find me?,69
<br><b><u>MARLA</u>:</b><br>,69
The forwarding number. I haven't seen you at any support groups.,69
<br><b><u>JACK</u>:</b><br>,69
That's the idea -- we split them.,69
<br><b><u>MARLA</u>:</b><br>,69
You haven't been going to yours.,69
<br><b><u>JACK</u>:</b><br>,69
I found a new one.,69
<br><b><u>MARLA</u>:</b><br>,69
Really?,69
<br><b><u>JACK</u>:</b><br>,69
It's for men.,69
<br><b><u>MARLA</u>:</b><br>,69
Like testicular cancer?,69
<br><b><u>JACK</u>:</b><br>,69
"Look, this is a bad time...",69
<br><b><u>MARLA</u>:</b><br>,69
I've been going to debtor's anonymous. You want to see some truly fucked up people?,69
<br><b><u>JACK</u>:</b><br>,69
I'm just on my way out...,69
<br><b><u>MARLA</u>:</b><br>,69
"Me too. I got a stomach full of Xanax. I took what was left of a bottle. Might've been too much. Jack looks exasperated, turns TO LOOK INTO THE CAMERA.",69
<br><b><u>JACK (V.O.)</u>:</b><br>,69
Picture yourself watching Marla Singer throw herself around her crummy apartment.,69
<br><b><u>MARLA</u>:</b><br>,69
This isn't a for-real suicide thing. This is probably one of those cry-for- help things.,69
<br><b><u>JACK (V.O.)</u>:</b><br>,69
This could go on for hours.,69
<br><b><u>JACK</u>:</b><br>,69
So you're staying in tonight?,69
<br><b><u>MARLA</u>:</b><br>,69
"Do you want to wait to hear me describe death? Jack puts the handset on top of the phone, still off the hook, walks out the back door. MARLA'S VOICE Do you want to listen and see if my spirit can use the telephone? Thru the archway: Tyler leans to look in, curious.<br><a href='#top'>gora strony</a>",69
<h3>INT. KITCHEN - MORNING</h3><br><a name='top'></a>,74
"Jack sits at the table, sips coffee, read Reader's Digest. He hears FOOTSTEPS approaching.",74
<br><b><u>JACK</u>:</b><br>,74
"You're not going to believe what I dreamt last night. Marla walks in, straightening her dress, looks like she's been raped by a hurricane. Jack's jaw drops.",74
<br><b><u>MARLA</u>:</b><br>,74
"I can hardly believe anything about last night. Marla goes to pour coffee. She takes a swig, GARGLES and SPITS it in the sink. She gives Jack a lascivious smile.",74
<br><b><u>JACK</u>:</b><br>,74
What are you doing here?,74
<br><b><u>MARLA</u>:</b><br>,74
What... ?,74
<br><b><u>JACK</u>:</b><br>,74
"What the hell are you doing here? Marla stares at him a beat, then drops the cup in the sink.",74
<br><b><u>MARLA</u>:</b><br>,74
"Fuck you. Marla shoves open the door to the backyard and walks out. Jack gets up, watches her stomp away. Jack turns and -- Tyler is at his shoulder, staring after Marla. He's in his usual sweatpants. He grins at Jack, then moves away, pours himself coffee. Jack, smoldering, slumps at the table and picks up Reader's Digest. Tyler puts his foot on a countertop, does stretching exercises.",74
<br><b><u>TYLER</u>:</b><br>,74
"She's a piece of work. Get this -- I come in here last night, the phone's off the hook... Jack pretends to read, quickly glances at Tyler. TYLER'S VOICE FADES...",74
<br><b><u>JACK (V.O.)</u>:</b><br>,74
I already knew the story before he told it to me.<br><a href='#top'>gora strony</a>,74
<h3>INT. MARLA'S ROOM - CONTINUOUS (FLASHBACK)</h3><br><a name='top'></a>,77
Marla pulls Tyler inside and shuts the door. Her drugged eyes look him over.,77
<br><b><u>MARLA</u>:</b><br>,77
"You got here fast. She staggers and sits on the bed. She slides off, along with the blanket and sheets, to the floor.",77
<br><b><u>MARLA</u>:</b><br>,77
The mattresses are all sealed in slippery plastic. She tries to focus her eyes on Tyler.,77
<br><b><u>MARLA</u>:</b><br>,77
"Did I call you? Tyler studies her with cynical curiosity, looks at a DILDO lying atop a dresser. Marla follows his gaze.",77
<br><b><u>MARLA</u>:</b><br>,77
Don't worry. It's not a threat to you. SIRENS and vehicles SCREECHING outside can be HEARD; doors opening and SLAMMING; running FOOTFALLS.,77
<br><b><u>MARLA</u>:</b><br>,77
"Oh, no! Somebody called the cops... She gets to her feet, grabs Tyler, pulls him out the door.<br><a href='#top'>gora strony</a>",77
<h3>INT. HALLWAY (FLASHBACK)</h3><br><a name='top'></a>,78
"Marla LOCKS her door, then pulls Tyler toward the STAIRCASE. COPS and PARAMEDICS charge up with oxygen and medical kits. Marla and Tyler flatten against the wall to let them pass.",78
<br><b><u>COP</u>:</b><br>,78
8-G! Where's 8-G?,78
<br><b><u>MARLA</u>:</b><br>,78
(pointing) End of the hall. The rescuers keep running.,78
<br><b><u>MARLA</u>:</b><br>,78
"(calling after) The girl who lives there used to be a charming, lovely girl, but she's lost faith in herself...",78
<br><b><u>COP</u>:</b><br>,78
"Miss Singer, let us help you! You have every reason to live! Marla yanks Tyler's arm, heading down the stairs.",78
<br><b><u>MARLA</u>:</b><br>,78
She's a monster! Infectious human waste! Good luck trying to save her!<br><a href='#top'>gora strony</a>,78
<h3>INT. KITCHEN - NIGHT (FLASHBACK)</h3><br><a name='top'></a>,79
Tyler makes coffee. Marla slouches against the refrigerator.,79
<br><b><u>MARLA</u>:</b><br>,79
"If I fall asleep, I'm done for. You're gonna have to keep me up all night.<br><a href='#top'>gora strony</a>",79
<h3>INT. TYLER'S ROOM - NIGHT (FLASHBACK)</h3><br><a name='top'></a>,81
"Tyler smokes, post-coital. Marla puts her lips to his ear.",81
<br><b><u>MARLA</u>:</b><br>,81
(whispering) I want to have your abortion.<br><a href='#top'>gora strony</a>,81
<h3>INT. POLICE STATION - OFFICE</h3><br><a name='top'></a>,91
"A cop, DETECTIVE STERN, refers to a file. DETECTIVE STERN This is Detective Stern with the arson unit. We have some new information about the ""incident"" at your condo.",91
<br><b><u>JACK</u>:</b><br>,91
"Yes? DETECTIVE STERN I don't know if you're aware... your front door -- it seems someone sprayed freon into the lock, then tapped it with a chisel to shatter the cylinder.",91
<br><b><u>JACK</u>:</b><br>,91
"No, I wasn't aware...",91
<br><b><u>JACK (V.O.)</u>:</b><br>,91
I am Jack's Cold Sweat. DETECTIVE STERN Does this sound strange to you?,91
<br><b><u>JACK</u>:</b><br>,91
"Yes, sire, strange. Very strange. Jack starts to sweat, scrubs his pants obsessively. DETECTIVE STERN The dynamite...",91
<br><b><u>JACK</u>:</b><br>,91
Dynamite? DETECTIVE STERN Yes. It left a residue of ammonium oxalate and potassium perchloride. Do you know what that means?,91
<br><b><u>JACK</u>:</b><br>,91
What does that mean? DETECTIVE STERN It means it was homemade.,91
<br><b><u>JACK</u>:</b><br>,91
"This is... really a shock... DETECTIVE STERN Whoever set this homemade dynamite could've blown out the pilot light days before the explosion. The gas, it seems, was just a detonator.",91
<br><b><u>JACK</u>:</b><br>,91
"Who do you think could've done this? DETECTIVE STERN I'll ask the questions, son.",91
<br><b><u>TYLER</u>:</b><br>,91
"(whispering in Jack's ear) Tell him... Jack almost leaps out his skin, startled; looks to see Tyler standing right next to him.",91
<br><b><u>JACK</u>:</b><br>,91
Huh?,91
<br><b><u>TYLER</u>:</b><br>,91
"(overlap w/below) ""The liberator who destroyed my property has re-aligned my paradigm of perception.""",91
<br><b><u>JACK</u>:</b><br>,91
"Shhhhhh! (into phone, overlap w/above) I don't know what to make of this, sir, I really don't... DETECTIVE STERN Do you know anyone who'd have the expertise or motive to do something like this?",91
<br><b><u>TYLER</u>:</b><br>,91
"""I reject the basic assumptions of civilization, including material possession."" Jack pushes Tyler away, cups the receiving.",91
<br><b><u>JACK</u>:</b><br>,91
"(into phone) No. No, sir. I loved that condo. I loved every stick of furniture. The lamps, the chairs, the rugs, were me. The dishes were me. The plants were...",91
<br><b><u>JACK (V.O.)</u>:</b><br>,91
"I'd like to thank the academy... DETECTIVE STERN Well, if any ideas come to you, give me a call. In the meantime, don't leave town. I may need to bring you in for questioning. END INTERCUT Jack hangs up. Tyler shrugs.",91
<br><b><u>TYLER</u>:</b><br>,91
"Could be worse. You could be cursed with the three terrible Karmas. You could be beautiful, rich and famous. Jack turns away, continues to scrub his pants. Marla's FOOTSTEPS can be HEARD coming downstairs... Jack really grinds the soap against the pants, splashing water. He turns, sees Marla enter. Tyler is GONE. Marla lights a cigarette.",91
<br><b><u>JACK (V.O.)</u>:</b><br>,91
"Except for their humping, Tyler and Marla were never in the same room.",91
<br><b><u>MARLA</u>:</b><br>,91
I got this dress at a thrift store for one dollar.,91
<br><b><u>JACK</u>:</b><br>,91
(keeps scrubbing) Worth every penny.,91
<br><b><u>JACK (V.O.)</u>:</b><br>,91
"My parents pulled this exact act for years -- one came in, the other disappeared. Marla begins a slow, exotic dance, moving very close to Jack. She lifts her dress dangerously high, dancing close to Jack's body, almost touhcing.",91
<br><b><u>MARLA</u>:</b><br>,91
"(seductive) It's a bridesmaid's dress. Someone loved it intensely for one day, then tossed it. Like a Christmas tree -- so special, then, bam -- it's abandoned on the side of the road, tinsel still clinging to it... Jack becomes very aware of having no pants on, presses against the counter. Marla pulls her hemline further up.",91
<br><b><u>MARLA</u>:</b><br>,91
"Like sex crime victims, underwear inside-out, bound with electrical tape.",91
<br><b><u>JACK</u>:</b><br>,91
"(coldly) It suits you. She leans in very close to Jack's ear, whispers hoarsely:",91
<br><b><u>MARLA</u>:</b><br>,91
"You can borrow it sometime. Jack takes a step away, keeps scrubbing. Marla blows smoke in his face. Jack takes her cigarette and throws it in the sink. Marla backs away, fed up, storms out, going UPSTAIRS.",91
<br><b><u>TYLER (O.S.)</u>:</b><br>,91
Get rid of her. Jack turns to see Tyler in the doorway.,91
<br><b><u>JACK</u>:</b><br>,91
You get rid of her.,91
<br><b><u>TYLER</u>:</b><br>,91
"(pointing at Jack) Don't mention me. Marla's FOOTSTEPS are coming DOWNSTAIRS. Jack looks to the archway, then back at -- Tyler's GONE. Marla enters, shoes and balled up clothing under one arm, looking for something on the junk strewn table.",91
<br><b><u>JACK (V.O.)</u>:</b><br>,91
"I'm six years old again, passing messages between my parents.",91
<br><b><u>JACK</u>:</b><br>,91
"I, uh... think you should go now. Marla ignores, still searching the table, tossing things, pushing other things off to the floor.",91
<br><b><u>JACK</u>:</b><br>,91
It's time for you to leave.,91
<br><b><u>MARLA</u>:</b><br>,91
"Don't worry, I'm leaving. Marla finds what she wanted, a pack of cigarettes. She moves up into Jack's face.",91
<br><b><u>MARLA</u>:</b><br>,91
"You're such a nutcase, I can't even begin to keep up.",91
<br><b><u>JACK</u>:</b><br>,91
"Goodbye. She laughs, spins on her heels. As she exits the back door, she sings ""This Merry-Go-Round"" from ""Valley of the Dolls."" Jack watches her through the kitchen window.",91
<br><b><u>TYLER (O.S.)</u>:</b><br>,91
"Nice work. Jack turns. Tyler's right behind him. Through the window, Marla can be seen walking away. Tyler picks up the remnant of SOAP Jack's been using, holds it up to Jack.",91
<br><b><u>TYLER</u>:</b><br>,91
"To make soap, first we have to render fat. Jack looks at Tyler. CLOSE UP - SIGN: ""DANGER - BIOHAZARD."" EXT. FENCED-IN BIOHAZARD WASTE DUMP SITE - NIGHT Tyler stands inside the fence. Jack's atop the fence, struggling to cross BARBED WIRE. He wobbles, gets over, snags his shirt. Jack falls, RIPPPPP. Tyler helps. FOOTSTEPS. A FLASHLIGHT BEAM. Tyler pulls Jack behind a DUMPSTER, one of DOZENS. A silhouette of a SECURITY GUARD moves along the perimeter, flashlight first. He walks away. MOVE BACK to Tyler and Jack, who emerge from hiding. Tyler eagerly grabs the lid of the closest dumpster.",91
<br><b><u>TYLER</u>:</b><br>,91
The best fat for making soap -- because the salt balance is just right -- comes form human bodies... Tyler lifts the lid -- it CREAKS.,91
<br><b><u>JACK</u>:</b><br>,91
What is this place?,91
<br><b><u>TYLER</u>:</b><br>,91
"A liposuction clinic. From the dumpster, Tyler pulls out an industrial-sized, thick plastic bag full of PINK GOO.",91
<br><b><u>TYLER</u>:</b><br>,91
"Paydirt. From society's richest asses and thighs. TIME CUT: Tyler and Jack climb back over the fence, carrying BAGS of fat. One of Jack's bags RIPS, spilling the goo down the chain-link fench. Jack slips and slides. Tyler laughs. Tyler tries to scoop the running fat back into the bag.<br><a href='#top'>gora strony</a>",91
<h3>INT. JACK'S OFFICE - DAY</h3><br><a name='top'></a>,94
"Jack sits at his desk, playing a game on his computer, smoking a cigarette. Boss enters.",94
<br><b><u>JACK (V.O.)</u>:</b><br>,94
He was wearing a yellow tie. It must be Thursday. I didn't even wear a tie to work anymore. Boss slaps a piece of PAPER down on Jack's desk.,94
<br><b><u>BOSS</u>:</b><br>,94
"""The first rule of fight club is you don't talk about fight club."" Jack snuffs his cigarette in an ashtray, stares up stoically.",94
<br><b><u>JACK (V.O.)</u>:</b><br>,94
I must've left the original in the copy machine.,94
<br><b><u>BOSS</u>:</b><br>,94
"""The second rule of fight club... Is this yours?",94
<br><b><u>JACK</u>:</b><br>,94
Hmm?,94
<br><b><u>BOSS</u>:</b><br>,94
You don't get paid to abuse the copy machine.,94
<br><b><u>JACK</u>:</b><br>,94
"""Abuse"" the copy machine. There's an image.",94
<br><b><u>BOSS</u>:</b><br>,94
"Pretend you're me. You find this. What would you do? Jack rises slowly, walks to his door, shuts it.",94
<br><b><u>JACK</u>:</b><br>,94
"Me? I'd be very careful who I talked to about this. It sounds like someone dangerous wrote it... someone who might snap at any moment, stalking from office to office with an Armalite AR-10 Carbine-gas semiautomatic, bitterly pumping round after round into colleagues and co- workers. Jack moves very close to Boss, picks up the PAPER and starts tearing it into pieces.",94
<br><b><u>JACK</u>:</b><br>,94
"Might be someone you've known for years... somebody very close to you. Or, maybe you shouldn't be bringing me every little piece of trash you pick up. Jack puts the PAPER in his trash. Bass stares with a tinge of outrage, a tinge of fear. PHONE RINGS. Jack answers it.",94
<br><b><u>JACK</u>:</b><br>,94
Compliance and Liability. MARLA'S VOICE My tit's going to rot off.,94
<br><b><u>JACK</u>:</b><br>,94
"Just a second. (to Boss; smiles) Could you excuse me? I need to take this call. Boss goes to the door, stares at Jack a beat, then leaves.",94
<br><b><u>JACK</u>:</b><br>,94
(into phone) What are you talking about?,94
<h3>INTERCUT WITH - CLOSE UP OF MARLA...</h3><br><a name='top'></a>,94
,94
<br><b><u>MARLA</u>:</b><br>,94
Would you do something for me? I need you to check and see if there's a lump in my breast. I can't afford to throw money away on a doctor.,94
<br><b><u>JACK</u>:</b><br>,94
I don't know ...,94
<br><b><u>MARLA</u>:</b><br>,94
Please.,94
<br><b><u>JACK (V.O.)</u>:</b><br>,94
"She didn't call Tyler. I'm neutral in her book. EXT. MARLA'S HOTEL - SUNSET Jack walks down the sidewalk, seeing Marla take two BOXES from a VAN with the sign ""MEALS ON WHEELS.""<br><a href='#top'>gora strony</a>",94
<h3>INT. MARLA'S ROOM - MOMENTS LATER</h3><br><a name='top'></a>,95
Marla leads Jack inside.,95
<br><b><u>JACK</u>:</b><br>,95
"This is a sweet side of you. Picking these up for ... (reads the boxes:) ""Mrs. Haniver"" and... ""Mrs. Raines."" Where are they?",95
<br><b><u>MARLA</u>:</b><br>,95
"Tragically, they're dead. I'm alive and I'm in poverty. You want any?",95
<br><b><u>JACK</u>:</b><br>,95
"No, thanks.",95
<br><b><u>MARLA</u>:</b><br>,95
Good. He stares at her while she eats.,95
<br><b><u>MARLA</u>:</b><br>,95
What happened to your hand? Jack awkwardly puts his bandaged hand behind his back.,95
<br><b><u>JACK</u>:</b><br>,95
Nothing.<br><a href='#top'>gora strony</a>,95
<h3>INT. MARLA'S ROOM - NIGHT</h3><br><a name='top'></a>,96
Marla stands facing a MIRROR with her shirt open. Jack stands behind her with his hand on the bottom side of her breast. Marla's hand guides his.,96
<br><b><u>JACK</u>:</b><br>,96
Where? Here?,96
<br><b><u>MARLA</u>:</b><br>,96
Here.,96
<br><b><u>JACK</u>:</b><br>,96
There?,96
<br><b><u>MARLA</u>:</b><br>,96
Here.,96
<br><b><u>JACK</u>:</b><br>,96
Here.,96
<br><b><u>MARLA</u>:</b><br>,96
Feel anything?,96
<br><b><u>JACK</u>:</b><br>,96
"No. Jack's head is behind Marla's. They speak softer, slower.",96
<br><b><u>MARLA</u>:</b><br>,96
Make sure.,96
<br><b><u>JACK</u>:</b><br>,96
"Okay. Okay, I'm sure.",96
<br><b><u>MARLA</u>:</b><br>,96
You feel nothing?,96
<br><b><u>JACK</u>:</b><br>,96
"Nothing. Marla turns around and faces him, begins to button her shirt.",96
<br><b><u>MARLA</u>:</b><br>,96
"Well, that's a relief. Thank you.",96
<br><b><u>JACK</u>:</b><br>,96
No... no problem.,96
<br><b><u>MARLA</u>:</b><br>,96
"I wish I could return the favor. Jack touches his own chest, shakes his head.",96
<br><b><u>JACK</u>:</b><br>,96
I think everything's okay here.,96
<br><b><u>MARLA</u>:</b><br>,96
I could check your prostate.,96
<br><b><u>JACK</u>:</b><br>,96
Uh ... nah.,96
<br><b><u>MARLA</u>:</b><br>,96
"(pause) Well... thanks, anyway. Marla leans to kiss him -- lingers for a bit longer than just friendly. Jack pulls away.",96
<br><b><u>JACK</u>:</b><br>,96
So.... are we done? Marla sighs.,96
<br><b><u>MARLA</u>:</b><br>,96
"Yeah, we're done. See you around. EXT. HOTEL - MOMENTS LATER Jack emerges from the lobby. He looks up at Marla's window, watches her silhouette. He walks away, right into -- Big BOB, the moose, eating a donut and drinking orange juice.",96
<br><b><u>BOB</u>:</b><br>,96
Cornelius! How are you?,96
<br><b><u>JACK</u>:</b><br>,96
Bob. I'm okay. How are you?,96
<br><b><u>BOB</u>:</b><br>,96
Better than I've ever been in my life.,96
<br><b><u>JACK</u>:</b><br>,96
"Really? Great. Still ""Remaining Men Together?"" An intense look of born-again fervor comes over Bob's face.",96
<br><b><u>BOB</u>:</b><br>,96
No. I found something new.,96
<br><b><u>JACK</u>:</b><br>,96
"Really, what's that?",96
<br><b><u>BOB</u>:</b><br>,96
(quietly) The first rule is... you aren't supposed to talk about it...,96
<br><b><u>JACK</u>:</b><br>,96
Oh.,96
<br><b><u>BOB</u>:</b><br>,96
And the second rule about it is... you're not supposed to talk about it. And the third rule...,96
<br><b><u>JACK</u>:</b><br>,96
"Bob, Bob... I'm a member.",96
<br><b><u>BOB</u>:</b><br>,96
You are?!,96
<br><b><u>JACK</u>:</b><br>,96
Look at my face. Bob roughly slaps Jack's shoulder.,96
<br><b><u>BOB</u>:</b><br>,96
"That's a fucking great, man! Fucking great! Congratulations.",96
<br><b><u>JACK</u>:</b><br>,96
"Yeah, both of us.",96
<br><b><u>BOB</u>:</b><br>,96
"You know about the guy who invented it? I hear all kinds of things. Supposedly, he was born in a mental institution. They say he only sleeps one hour a night. You know about this guy? Tyler Durden?<br><a href='#top'>gora strony</a>",96
<h3>INT. KITCHEN - MOMENTS LATER</h3><br><a name='top'></a>,121
"Jack sits at the table, sips coffee. He's pale, dazed, seems broken. He hears the faint SOUND of SAWING and HAMMERING, unsure of where it's coming from. Marla walks into the kitchen and goes straight to the counter. Her back is to Jack as he looks at her. She pours ccffee and lights a cigarette. A beat of silence, then:",121
<br><b><u>MARLA</u>:</b><br>,121
